BirdID,FinalSB,SB_ROC,BodyMass,Stage,EP,Tissue,SiteEuth,DNAm,TLR4_RQ_proximal_intestine,TLR4_RQ_medial_intestine,TLR4_RQ_distal_intestine,TLR4_RQ_cecum
3142,1.8977735,0.229509833,23.2,Male,high,spleen,CG05,0,1.414213562,1.283425898,2,1.20163605
3144,2.3585485,0.1040035,23,Juvenile,low,liver,CG01,1,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,liver,CG02,1,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,liver,CG03,1,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,liver,CG04,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,liver,CG05,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,blood,CG01,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,blood,CG02,1,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,blood,CG03,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,blood,CG04,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,blood,CG05,0,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,spleen,CG01,NA,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,spleen,CG02,NA,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,spleen,CG03,NA,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,spleen,CG04,NA,2.828427125,0.464902471,3.084421651,1.510472586
3144,2.3585485,0.1040035,23,Juvenile,low,spleen,CG05,NA,2.828427125,0.464902471,3.084421651,1.510472586
3145,1.203978,-0.018869833,19.8,Juvenile,high,liver,CG01,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,liver,CG02,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,liver,CG03,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,liver,CG04,0,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,liver,CG05,0,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,blood,CG01,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,blood,CG02,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,blood,CG03,1,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,blood,CG04,0,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,blood,CG05,0,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,spleen,CG01,NA,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,spleen,CG02,NA,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,spleen,CG03,NA,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,spleen,CG04,NA,0.158768873,0.347479555,0.449066186,17.32760073
3145,1.203978,-0.018869833,19.8,Juvenile,high,spleen,CG05,NA,0.158768873,0.347479555,0.449066186,17.32760073
3150,3.8145975,0.257156333,22.2,Female,high,liver,CG01,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,liver,CG02,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,liver,CG03,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,liver,CG04,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,liver,CG05,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,blood,CG01,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,blood,CG02,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,blood,CG03,1,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,blood,CG04,0,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,blood,CG05,0,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,spleen,CG01,NA,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,spleen,CG02,NA,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,spleen,CG03,NA,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,spleen,CG04,NA,0.267016352,0.386891248,0.154963462,1.185092771
3150,3.8145975,0.257156333,22.2,Female,high,spleen,CG05,NA,0.267016352,0.386891248,0.154963462,1.185092771
3153,1.3000825,0.049478458,24.6,Female,low,liver,CG01,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,liver,CG02,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,liver,CG03,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,liver,CG04,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,liver,CG05,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,blood,CG01,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,blood,CG02,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,blood,CG03,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,blood,CG04,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,blood,CG05,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,spleen,CG01,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,spleen,CG02,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,spleen,CG03,1,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,spleen,CG04,0,6.727171322,9.579829637,7.754318535,9.415253898
3153,1.3000825,0.049478458,24.6,Female,low,spleen,CG05,0,6.727171322,9.579829637,7.754318535,9.415253898
3154,3.16293,0.160064458,23.7,Male,low,liver,CG01,1,2.070529848,4.301977562,4.438277888,2.531513188
3154,3.16293,0.160064458,23.7,Male,low,liver,CG02,1,2.070529848,4.301977562,4.438277888,2.531513188
3154,3.16293,0.160064458,23.7,Male,low,liver,CG03,1,2.070529848,4.301977562,4.438277888,2.531513188
3154,3.16293,0.160064458,23.7,Male,low,liver,CG04,0,2.070529848,4.301977562,4.438277888,2.531513188
3154,3.16293,0.160064458,23.7,Male,low,liver,CG05,0,2.070529848,4.301977562,4.438277888,2.531513188
